Region;population
Dodoma;2083588
Arusha;1694310
Kilimanjaro;1640087
Tanga;2045205
Morogoro;2218492
Pwani;1098668
Dar es Salaam;4364541
Lindi;864652
Mtwara;1270854
Ruvuma;1376891
Iringa;941238
Mbeya;1708548
Singida;1370637
Tabora;2291623
Rukwa;1004539
Kigoma;2127930
Shinyanga;1534808
Kagera;2458023
Mwanza;2772509
Mara;1743830
Manyara;1425131
Njombe;702097
Katavi;564604
Simiyu;1584157
Geita;1739530
Songwe ;998862
Kaskazini Unguja;187455
Kusini Unguja;115588
Mjini Magharibi;593678
Kaskazini Pemba;211732
Kusini Pemba;195116
Tanzania Total;44928923